BscStartDate,Asset,OriginalShorttext,PMType,Cost,Failure Mode
2008-09-13,C,STEEL TUBE ON BUCKET CLAM BROKEN,PM01,0,Structural Crack/Damage
2008-09-14,C,REPLACE MISSING BUCKET TOOTH.,PM01,701.27,Tooth Wear/Replacement
2008-09-14,C,LH BUCKET CROWD CYLINDER LEAKING,PM01,0,Hydraulic Cylinder Leak
2008-10-02,C,REPLACE MISSING BUCKET TOOTH,PM01,3024.74,Tooth Wear/Replacement
2008-10-18,C,REPAIRS TO R/H BUCKET RAM  HYD HOSE,PM01,1920.16,Hydraulic Hose/Line Leak
2008-10-19,C,REPLACE MISSING TOOTH,PM01,701.43,Tooth Wear/Replacement
2008-10-24,C,Offsite Repair RH120 bucket SHD23 Oct 08,PM01,109451.45,Complete Bucket Replacement
2008-11-05,C,REPAIR  BUCKET WEAR PLATES - BROKEN AWAY,PM01,0,Wear Package Replacement
2008-11-30,C,REPLACE TWO BROKEN TEETH,PM01,1403.16,Tooth Wear/Replacement
2008-12-28,C,REPLACE BUCKET TOOTH,PM01,789.39,Tooth Wear/Replacement
2009-03-02,C,REPLACE R.H CORNER BUCKET TOOTH,PM01,889.68,Tooth Wear/Replacement
2009-03-24,C,REPLACE BUCKET TOOTH,PM01,806.22,Tooth Wear/Replacement
2009-03-30,C,BUCKET TOOTH BROKEN OFF,PM01,3769.26,Tooth Wear/Replacement
2009-03-30,C,CHANGEOUT BUCKET,PM01,7774.83,Complete Bucket Replacement
2009-04-03,C,REPLACE 2 LOST TEETH,PM01,1714.5,Tooth Wear/Replacement
2009-04-05,C,REPLACE LOST CENTRE BUCKET TOOTH,PM01,701.77,Tooth Wear/Replacement
2009-04-26,C,GREASE LINE ON LHS OF BUCKET BROKEN,PM01,138.21,Grease Line/Fitting Issue
2009-05-01,C,ONE BUCKET TOOTH HAS FALLEN OFF,PM01,1241.89,Tooth Wear/Replacement
2009-05-17,C,REPAIR BLOWN BUCKET HOSE.,PM01,0,Hydraulic Hose/Line Leak
2009-05-18,C,Offsite Repair RH120E May  09,PM01,105784.35,Complete Bucket Replacement
2009-07-01,C,MINING GET - SHD023 FY10,PM05,12356.89,Routine Maintenance/Inspection
2009-07-30,C,TWO BUCKET TEETH BROKEN,PM01,1604.08,Tooth Wear/Replacement
2009-08-25,C,REPLACE BUCKET TOOTH.,PM01,701.77,Tooth Wear/Replacement
2009-10-11,C,CRACKS UNDER HEEL OF BUCKET,PM01,1568,Structural Crack/Damage
2009-10-17,C,C/O R/H BUCKET CLAM CYLINDER,PM01,4682.12,Cylinder Mechanical Failure
2009-11-03,C,REPLACE LUBE HOSE TO BUCKET,PM01,0,Grease Line/Fitting Issue
2009-11-23,C,Off Site Repair RH120E November 2009,PM01,216816.49,Complete Bucket Replacement
2009-12-20,C,Change out bucket teeth.,PM01,6496.88,Tooth Wear/Replacement
2010-01-16,C,REPLACE MISSING BUCKET TOOTH.,PM01,2358.57,Tooth Wear/Replacement
2010-01-17,C,REPLACE A MISSING BUCKET TOOTH,PM01,926.89,Tooth Wear/Replacement
2010-02-05,C,REPLACE BUCKET TOOTH,PM01,1008.19,Tooth Wear/Replacement
2010-03-10,C,BUCKET TOOTH MISSING    @R10,PM01,66.43,Tooth Wear/Replacement
2010-04-30,C,REPLACE MISSING BUCKET TOOTH.,PM01,974.53,Tooth Wear/Replacement
2010-05-06,C,REPAIR BUCKET WEAR PLATES,PM01,0,Wear Package Replacement
2010-05-26,C,BUCKET CRACKS,PM01,0,Structural Crack/Damage
2010-06-17,C,REPLACE BUCKET TOOTH,PM01,1624.22,Tooth Wear/Replacement
2010-06-28,C,REPLACE MISSING BUCKET TOOTH.,PM01,5133.07,Tooth Wear/Replacement
2010-07-01,C,MINING GET - SHD0023 FY11,PM05,845.17,Routine Maintenance/Inspection
2010-07-14,C,REPLACE LH BUCKET CYL HOSES,PM01,1731.37,Hydraulic Hose/Line Leak
2010-09-14,C,CHANGE OUT BUCKET,PM01,3222.88,Complete Bucket Replacement
2011-03-25,C,CHANDE BUCKET TOOTH,PM01,670.5,Tooth Wear/Replacement
2011-05-01,C,REPAIR & REPLACE GREASE HOSES BUCKET,PM01,9300.14,Grease Line/Fitting Issue
2011-05-08,C,REPLACE MISSING BUCKET TOOTH,PM01,1844.9,Tooth Wear/Replacement
2011-05-08,C,GREASE LINES BROKEN AT BUCKET,PM01,998.67,Grease Line/Fitting Issue
2011-05-12,C,L/H PIN WALKING OUT ON BUCKET CLAM LOWER,PM01,1743.12,Pin/Lock Replacement
2011-07-03,C,HEATER NOT GETTING WARM,PM01,1304.5,Unrelated Component
2011-07-06,C,OIL LEAK AT BACK OF BUCKET,PM01,559.07,Hydraulic Hose/Line Leak
2011-08-08,C,round plate r/h side of bucket fallen of,PM01,1645.9,Wear Package Replacement
2011-10-07,C,REPAIR SPARE BUCKET SHD23.,PM01,267231.39,Complete Bucket Replacement
2003-07-17,D,Replace tooth on bucket,PM01,954.93,Tooth Wear/Replacement
2003-08-12,D,No bucket crowd  COMPLETED,PM01,245.99,Bucket Opening Mechanism Failure
2003-10-31,D,Replace bucket with 20m3 style.,PM01,10635.51,Complete Bucket Replacement
