BscStartDate,Asset,OriginalShorttext,PMType,Cost
2002-06-14,B,RH120C-BUCKET FRONT LIP CHANGEOUT,PM02,0
2002-06-18,B,Change LH bucket roll cylinder,PM01,12803.84
2002-06-18,B,Change bucket lip.,PM01,778.56
2002-06-18,B,fit teeth to bucket,PM01,258.72
2002-06-20,B,REPLACE WEAR PACKAGE LOWER WALL,PM01,214.88
2002-06-27,B,air con. not getting cold.,PM01,214.88
2002-08-02,B,"Missing adapter,tooth and pins",PM01,159.25
2002-09-12,B,L/H BUCKET CYL GLAND SEAL LEAKING,PM01,0
2002-10-03,B,REPLACE MISSING BUCKET TOOTH,PM01,1532.37
2002-10-14,B,repair wear package rhs inside bkt wall,PM01,1739.36
2002-10-29,B,replace tip,PM01,676.11
2003-01-10,B,replace adaptor & tip,PM01,641.62
2003-01-20,B,replace lip shroud,PM01,153.67
2003-01-28,B,WELD CRACK IN LH LIP EAR(FRONT),PM01,0
2003-02-08,B,replace tip,PM01,166.81
2003-02-14,B,change out damaged lip,PM01,8774.59
2003-02-19,B,replaced adaptor,PM01,844.6
2003-02-22,B,replace stick to bucket hose,PM01,1203.26
2003-04-08,B,REPLACE BUSTED LIP PIVOT GREASE LINES,PM01,59.38
2003-04-11,B,LH LIP EAR CRACKED,PM01,118.76
2003-04-13,B,Change out bucket clam (lip),PM01,4853.36
2003-04-27,B,replace 2 lost tips,PM01,606.92
2003-05-01,B,replace lh outer adapter & tip,PM01,442.73
2003-05-20,B,recover lower wear edge plate (CC1500),PM01,893.1
2003-06-05,B,replace tooth,PM01,1043.88
2003-06-09,B,refit lip shroud,PM01,268.5
2003-06-11,B,replace tooth & adaptor,PM01,3244.06
2003-06-23,B,oil leak rh boom valve clam pipe adapter,PM01,124.12
2003-06-29,B,replace tooth & adaptor,PM01,0
2003-07-04,B,repair crack in lh front lip ear,PM01,631.5
2003-07-18,B,replace rh lip shroud!,PM01,244.04
2003-08-01,B,fit new tooth,PM01,528.59
2003-08-10,B,replace adaptor  COMPLETED,PM01,491.98
2003-08-11,B,replace teeth,PM01,159.61
2003-08-27,B,replace tip & pin  completed,PM01,180.8
2003-09-07,B,replace busted grease hose bucket pin,PM01,892.22
2003-09-18,B,R/H BUCKET ROD CYL GLAND SEAL LEAKING,PM01,2881.21
2003-10-03,B,Repair broken grease line on bucket,PM01,0
2003-10-27,B,replace adaptor & tooth,PM01,1264.05
2003-11-14,B,lost tooth COMPLETED,PM01,162.47
2003-11-24,B,replace lip shroud lock,PM01,148.19
2003-12-31,B,bucket clam gard is falling off,PM01,295.06
2004-01-01,B,replace grease line on bucket,PM01,300.49
2004-02-16,B,Replace centre tooth,PM01,557.5
2004-02-18,B,oil leak dist. block rear of bucket,PM01,4.53
2004-02-24,B,replace broken bucket lube fittings,PM01,465.54
2004-02-25,B,REPAIR BROKEN GREASE FITTING ON BUCKET.,PM01,399.04
2004-03-09,B,replace tooth,PM01,862.46
2004-03-11,B,Reorder bucket tips SHD16,PM01,930
2004-03-23,B,Replace bucket tip,PM01,153.96
2004-04-06,B,GET SUSPENTION ROPE SOCKETS,PM01,244.74
2004-04-06,B,REPLACE LEFT HAND LIP SHROUD,PM01,1028.19
2004-04-12,B,replace tooth,PM01,354.1
2004-04-12,B,Broken grease line on bucket,PM01,244.74
2004-04-13,B,replace adaptor keeper pin,PM01,249.55
