FMECA ID Code,Function,Failure Mode,Failure Cause,Local Failure Effect,Next Higher Effect,End Effect,Detection Method,Compensating Provisions
4B2,Provide torque to prop-rotors,Prop-rotor Gearbox #2 failure,Complete gearbox failure,Loss of torque from motor #2 and loss of torque output to prop-rotor #2,No output to prop-rotor #2; unable to transfer motor #2 torque to other prop-rotors. 25% loss of propulsion system power.,25% loss of propulsion system power. Aircraft handling qualities affected. Insufficient power available to control aircraft at airspeeds below 25 knots. Loss of control of aircraft if failure occurs while aircraft is in OMI avoid region.,Visual & audible warning provided to pilot,"Limited flight envelope, possible loss of ability to hover depending on aircraft weight. Pilot diverts to alternate landing location and executes roll-on landing above 25 kts."
4C1,Provide torque to prop-rotors,Prop-rotor Gearbox #3 failure,"Input shaft of gearbox fails (or clutch), causing loss of torque from motor #3.",Loss of torque from motor #3,Torque from other 3 motors transferred to prop-rotor #3 via interconnecting shaft,25% loss of propulsion system power. Aircraft handling qualities affected. Insufficient power available to control aircraft at airspeeds below 25 knots. Loss of control of aircraft if failure occurs while aircraft is in OMI avoid region.,Visual & audible warning provided to pilot,"Limited flight envelope, Pilot diverts to alternate landing location and executes roll-on landing above 25 kts."
4C2,Provide torque to prop-rotors,Prop-rotor Gearbox #3 failure,Complete gearbox failure,Loss of torque from motor #3 and loss of torque output to prop-rotor #3,No output to prop-rotor #3; unable to transfer motor #3 torque to other prop-rotors. 25% loss of propulsion system power.,25% loss of propulsion system power. Aircraft handling qualities affected. Insufficient power available to control aircraft at airspeeds below 25 knots. Loss of control of aircraft if failure occurs while aircraft is in OMI avoid region.,Visual & audible warning provided to pilot,"Limited flight envelope, possible loss of ability to hover depending on aircraft weight. Pilot diverts to alternate landing location and executes roll-on landing above 25 kts."
4D1,Provide torque to prop-rotors,Prop-rotor Gearbox #4 failure,"Input shaft of gearbox fails (or clutch), causing loss of torque from motor #4.",Loss of torque from motor #4,Torque from other 3 motors transferred to prop-rotor #4 via interconnecting shaft,25% loss of propulsion system power. Aircraft handling qualities affected. Insufficient power available to control aircraft at airspeeds below 25 knots. Loss of control of aircraft if failure occurs while aircraft is in OMI avoid region.,Visual & audible warning provided to pilot,"Limited flight envelope, Pilot diverts to alternate landing location and executes roll-on landing above 25 kts."
4D2,Provide torque to prop-rotors,Prop-rotor Gearbox #4 failure,Complete gearbox failure,Loss of torque from motor #4 and loss of torque output to prop-rotor #4,No output to prop-rotor #4; unable to transfer motor #4 torque to other prop-rotors. 25% loss of propulsion system power.,25% loss of propulsion system power. Aircraft handling qualities affected. Insufficient power available to control aircraft at airspeeds below 25 knots. Loss of control of aircraft if failure occurs while aircraft is in OMI avoid region.,Visual & audible warning provided to pilot,"Limited flight envelope, possible loss of ability to hover depending on aircraft weight. Pilot diverts to alternate landing location and executes roll-on landing above 25 kts."
5A1,Provide system cooling for batteries,Failure to provide chilled water to batteries,Coolant leak,Coolant leaks until reservoir is empty and pump runs dry. No coolant provided to batteries; batteries quickly overheat,"Battery cell failure, battery goes into thermal runaway. Battery catches fire, Reduced power available to 1 or more electric motors.","Aircraft fire, loss of controlled flight",System Health monitoring provides alert to pilot,(1) Automatic disconnect of batteries when they become hot. (2) Battery fire protection system contains battery failure to mitigate fire.
5A2,Provide system cooling for batteries,Failure to provide chilled water to batteries,Dual electrically driven pump failure (both pumps failed),No coolant flow from failed pumps.,"Battery cell failure, battery goes into thermal runaway. Battery catches fire, Reduced power available to 1 or more electric motors.","Aircraft fire, loss of controlled flight",System Health monitoring provides alert to pilot,(1) Automatic disconnect of batteries when they become hot. (2) Battery fire protection system contains battery failure to mitigate fire.
5A3,Provide system cooling for batteries,Failure to provide chilled water to batteries,"Vapor-cycle system failure, compressor, condenser, electric fan, etc.",Coolant temperature rises while circulating through all batteries. All batteries become equally hot.,"Batteries overheat, causing battery cell failure, battery goes into thermal runaway. Battery catches fire. Reduced power available to 1 or more electric motors.","Aircraft fire, loss of controlled flight",System Health monitoring provides alert to pilot,(1) Automatic disconnect of batteries when they become hot. (2) Battery fire protection system contains battery failure to mitigate fire.
5B1,Provide system cooling for batteries,Battery 1 cooling failure,"Clogged or kinked coolant line, clogged battery heat exchanger, defective bypass valve, or thermostat",Restricted coolant flow through battery. Battery temperature rises to critical temperature causing battery failure.,Loss of ability to operate motor #1 from battery power in case of loss of main HVDC power source. Possible battery fire,Loss of motor #1 output. Battery fire causes loss of aircraft,System Health monitoring provides alert to pilot,(1) Automatic disconnect of batteries when they become hot. (2) Battery fire protection system contains battery failure to mitigate fire.
5C1,Provide system cooling for batteries,Battery 2 cooling failure,"Clogged or kinked coolant line, clogged battery heat exchanger, defective bypass valve, or thermostat",Restricted coolant flow through battery. Battery temperature rises to critical temperature causing battery failure.,Loss of ability to operate motor #2 from battery power in case of loss of main HVDC power source. Possible battery fire,Loss of motor #2 output. Battery fire causes loss of aircraft,System Health monitoring provides alert to pilot,(1) Automatic disconnect of batteries when they become hot. (2) Battery fire protection system contains battery failure to mitigate fire.
5D1,Provide system cooling for batteries,Battery 3 cooling failure,"Clogged or kinked coolant line, clogged battery heat exchanger, defective bypass valve, or thermostat",Restricted coolant flow through battery. Battery temperature rises to critical temperature causing battery failure.,Loss of ability to operate motor #3 from battery power in case of loss of main HVDC power source. Possible battery fire,Loss of motor #3 output. Battery fire causes loss of aircraft,System Health monitoring provides alert to pilot,(1) Automatic disconnect of batteries when they become hot. (2) Battery fire protection system contains battery failure to mitigate fire.
5E1,Provide system cooling for batteries,Battery 4 cooling failure,"Clogged or kinked coolant line, clogged battery heat exchanger, defective bypass valve, or thermostat",Restricted coolant flow through battery. Battery temperature rises to critical temperature causing battery failure.,Loss of ability to operate motor #4 from battery power in case of loss of main HVDC power source. Possible battery fire,Loss of motor #4 output. Battery fire causes loss of aircraft,System Health monitoring provides alert to pilot,(1) Automatic disconnect of batteries when they become hot. (2) Battery fire protection system contains battery failure to mitigate fire.
